NodeDepth,Vp,Vs
-3.426,3.37803764189577,1.95262291439062
-3.176,3.45201918621592,1.99538681284157
-2.926,3.52491034570996,2.03752043104622
-2.676,3.59672053227642,2.07902920940834
-2.426,3.66745915781383,2.1199185883317
-2.176,3.73713563422072,2.16019400822007
-1.926,3.80575937339561,2.19986090947723
-1.676,3.87333978723704,2.23892473250696
-1.426,3.93988628764354,2.27739091771303
-1.176,4.00540828651364,2.31526490549921
-0.926,4.06991519574586,2.35255213626929
-0.676,4.13341642723874,2.38925805042702
-0.426,4.19592139289081,2.42538808837619
-0.176,4.2574395046006,2.46094769052058
0.074,4.31798017426663,2.49594229726395
0.324,4.37755281378744,2.53037734901008
0.574,4.43616683506155,2.56425828616275
0.824,4.4938316499875,2.59759054912573
1.074,4.55055667046382,2.63037957830279
1.324,4.60635130838903,2.66263081409771
1.574,4.66122497566167,2.69434969691426
1.824,4.71518708418027,2.72554166715623
2.074,4.76824704584335,2.75621216522737
2.324,4.82041427254944,2.78636663153147
2.574,4.87169817619708,2.8160105064723
2.824,4.9221081686848,2.84514923045364
3.074,4.97165366191112,2.87378824387926
3.324,5.02034406777457,2.90193298715293
3.574,5.06818879817369,2.92958890067844
3.824,5.11519726500701,2.95676142485954
4.074,5.16137888017304,2.98345600010003
4.324,5.20674305557034,3.00967806680366
4.574,5.25129920309741,3.03543306537423
4.824,5.2950567346528,3.06072643621549
5.074,5.33802506213503,3.08556361973123
5.324,5.38021359744264,3.10995005632523
5.574,5.42163175247415,3.13389118640124
5.824,5.46228893912809,3.15739245036306
6.074,5.50219456930299,3.18045928861445
6.324,5.54135805489739,3.20309714155919
6.574,5.57978880780981,3.22531144960105
6.824,5.61749623993878,3.24710765314381
7.074,5.65448976318284,3.26849119259124
7.324,5.6907787894405,3.28946750834711
7.574,5.72637273061031,3.31004204081521
7.824,5.76128099859079,3.3302202303993
8.074,5.79551300528047,3.35000751750316
8.324,5.82907816257788,3.36940934253057
8.574,5.86198588238156,3.3884311458853
8.824,5.89424557659002,3.40707836797111
9.074,5.92586665710181,3.4253564491918
9.324,5.95685853581545,3.44327082995113
9.574,5.98723062462946,3.46082695065287
9.824,6.01699233544239,3.47803025170081
10.074,6.04615308015276,3.49488617349871
10.324,6.0747222706591,3.51140015645035
10.574,6.10270931885993,3.5275776409595
10.824,6.1301236366538,3.54342406742995
11.074,6.15697463593923,3.55894487626545
11.324,6.18327172861474,3.5741455078698
11.574,6.20902432657888,3.58903140264675
11.824,6.23424184173016,3.6036080010001
12.074,6.25893368596713,3.6178807433336
12.324,6.2831092711883,3.63185507005104
12.574,6.30677800929221,3.64553642155619
12.824,6.32994931217739,3.65893023825283
13.074,6.35263259174237,3.67204196054472
13.324,6.37483725988567,3.68487702883565
13.574,6.39657272850584,3.69744088352939
13.824,6.41784840950139,3.70973896502971
14.074,6.43867371477086,3.72177671374038
14.324,6.45905805621277,3.73355957006519
14.574,6.47901084572567,3.7450929744079
14.824,6.49854149520807,3.7563823671723
15.074,6.51765941655851,3.76743318876215
15.324,6.53637402167551,3.77825087958122
15.574,6.55469472245761,3.78884088003331
15.824,6.57263093080334,3.79920863052217
16.074,6.59019205861123,3.80935957145158
16.324,6.6073875177798,3.81929914322532
16.574,6.62422672020758,3.82903278624716
16.824,6.64071907779312,3.83856594092088
17.074,6.65687400243492,3.84790404765025
17.324,6.67270090603154,3.85705254683904
17.574,6.68820920048149,3.86601687889103
17.824,6.7034082976833,3.87480248421
18.074,6.71830760953551,3.88341480319972
18.324,6.73291654793664,3.89185927626396
18.574,6.74724452478523,3.90014134380649
18.824,6.76130095197981,3.9082664462311
19.074,6.77509524141889,3.91624002394156
19.324,6.78863680500102,3.92406751734163
19.574,6.80193505462473,3.93175436683511
19.824,6.81499940218854,3.93930601282575
20.074,6.82783925959098,3.94672789571733
20.324,6.84046403873059,3.95402545591364
20.574,6.85288315150589,3.96120413381844
20.824,6.86510600981542,3.9682693698355
21.074,6.87714202555769,3.97522660436861
21.324,6.88900061063125,3.98208127782154
21.574,6.90069117693462,3.98883883059805
21.824,6.91222313636634,3.99550470310193
22.074,6.92360590082493,4.00208433573695
22.324,6.93484888220892,4.00858316890689
22.574,6.94596149241684,4.01500664301552
22.824,6.95695314334722,4.0213601984666
23.074,6.9678332468986,4.02764927566393
23.324,6.97861121496949,4.03387931501127
23.574,6.98929645945844,4.0400557569124
23.824,6.99989839226397,4.04618404177109
24.074,7.01042642528461,4.05226960999111
24.324,7.02088997041889,4.05831790197624
24.574,7.03129843956535,4.06433435813026
24.824,7.0416612446225,4.07032441885694
25.074,7.05198779748889,4.07629352456005
25.324,7.06228751006303,4.08224711564337
25.574,7.07256979424346,4.08819063251068
25.824,7.08284406192872,4.09412951556574
26.074,7.09311972501732,4.10006920521233
26.324,7.10340619540781,4.10601514185423
26.574,7.1137128849987,4.1119727658952
26.824,7.12404920568853,4.11794751773904
27.074,7.13442456937583,4.1239448377895
27.324,7.14484838795914,4.12997016645037
27.574,7.15533007333697,4.13602894412542
27.824,7.16587903740785,4.14212661121842
28.074,7.17650469207033,4.14826860813314
28.324,7.18721644922293,4.15446037527337
28.574,7.19802372076417,4.16070735304288
28.824,7.20893591859259,4.16701498184543
29.074,7.21996245460672,4.17338870208481
29.324,7.23111274070509,4.17983395416479
29.574,7.24239618878622,4.18635617848915
29.824,7.25382221074866,4.19296081546165
30.074,7.26540021849092,4.19965330548608
